time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:13.125466,26501,1645056673,123629570,1,671932.09734794,4689607.65681433,5,42,T
2022/02/16/19:11:13.127286,26502,1645056673,123629570,2,671932.09734794,4689607.65681433,5,42,T
2022/02/16/19:11:13.324997,26503,1645056673,322606325,3,671932.151578265,4689607.47203623,5,42,T
2022/02/16/19:11:13.325031,26504,1645056673,322606325,4,671932.151578265,4689607.47203623,5,42,T
2022/02/16/19:11:13.526931,26505,1645056673,524829626,5,671932.199576712,4689607.28877515,5,42,T
2022/02/16/19:11:13.527170,26506,1645056673,524829626,6,671932.199576712,4689607.28877515,5,42,T
2022/02/16/19:11:13.724027,26507,1645056673,722154855,7,671932.255395711,4689607.08974851,5,42,T
2022/02/16/19:11:13.724099,26508,1645056673,722154855,8,671932.255395711,4689607.08974851,5,42,T
2022/02/16/19:11:13.922223,26509,1645056673,920281648,9,671932.294848291,4689606.91815303,5,42,T
2022/02/16/19:11:13.922336,26510,1645056673,920281648,10,671932.294848291,4689606.91815303,5,42,T
2022/02/16/19:11:14.127192,26511,1645056674,125002861,11,671932.349718023,4689606.76901672,5,42,T
2022/02/16/19:11:14.128033,26512,1645056674,125002861,12,671932.349718023,4689606.76901672,5,42,T
2022/02/16/19:11:14.315759,26513,1645056674,314177751,13,671932.384716165,4689606.63869012,5,42,T
2022/02/16/19:11:14.315775,26514,1645056674,314177751,14,671932.384716165,4689606.63869012,5,42,T
2022/02/16/19:11:14.517544,26515,1645056674,516806364,15,671932.440407826,4689606.49532612,5,42,T
2022/02/16/19:11:14.518222,26516,1645056674,516806364,16,671932.440407826,4689606.49532612,5,42,T
2022/02/16/19:11:14.723634,26517,1645056674,721655845,17,671932.456603121,4689606.38513433,5,42,T
2022/02/16/19:11:14.724253,26518,1645056674,721655845,18,671932.456603121,4689606.38513433,5,42,T
2022/02/16/19:11:14.927762,26519,1645056674,925739288,19,671932.48878909,4689606.27403616,5,42,T
2022/02/16/19:11:14.928514,26520,1645056674,925739288,20,671932.48878909,4689606.27403616,5,42,T
2022/02/16/19:11:15.131082,26521,1645056675,129233360,21,671932.525143871,4689606.18938879,5,42,T
2022/02/16/19:11:15.131634,26522,1645056675,129233360,22,671932.525143871,4689606.18938879,5,42,T
2022/02/16/19:11:15.330449,26523,1645056675,328512907,23,671932.56764359,4689606.12919963,5,42,T
2022/02/16/19:11:15.330792,26524,1645056675,328512907,24,671932.56764359,4689606.12919963,5,42,T
2022/02/16/19:11:15.530484,26525,1645056675,527956008,25,671932.617443943,4689606.06881857,5,42,T
2022/02/16/19:11:15.530537,26526,1645056675,527956008,26,671932.617443943,4689606.06881857,5,42,T
2022/02/16/19:11:15.729948,26527,1645056675,728000402,27,671932.619906193,4689606.09188752,5,42,T
2022/02/16/19:11:15.730393,26528,1645056675,728000402,28,671932.619906193,4689606.09188752,5,42,T
2022/02/16/19:11:15.928451,26529,1645056675,926384687,29,671932.671832732,4689606.19725707,5,42,T
2022/02/16/19:11:15.928628,26530,1645056675,926384687,30,671932.671832732,4689606.19725707,5,42,T
