%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z
1.64609870445928E+018,1,0,0,-0.0749,0.7048,0.1136
1.64609870448447E+018,2,0,2.519296,-0.073,0.7077,0.1125
1.64609870450952E+018,3,0,2.5044224,-0.074,0.7057,0.1101
1.6460987045345E+018,4,0,2.4979712,-0.0758,0.7058,0.1136
1.64609870455917E+018,5,0,2.4676608,-0.0768,0.7058,0.1053
1.64609870458419E+018,6,0,2.5017088,-0.073,0.7087,0.1125
1.64609870460957E+018,7,0,2.5381376,-0.0767,0.7098,0.1135
1.64609870463433E+018,8,0,2.4754688,-0.0757,0.7176,0.1099
1.64609870466056E+018,9,0,2.6230272,-0.0749,0.7077,0.1112
1.6460987046852E+018,10,0,2.464512,-0.0749,0.7038,0.1148
1.64609870471009E+018,11,0,2.4884992,-0.0739,0.7077,0.1078
1.64609870473509E+018,12,0,2.5006848,-0.073,0.7047,0.1161
1.64609870476067E+018,13,0,2.557696,-0.0767,0.7117,0.1134
1.64609870478541E+018,14,0,2.4743936,-0.073,0.7087,0.1102
1.64609870481032E+018,15,0,2.490752,-0.0758,0.7068,0.1124
1.64609870483496E+018,16,0,2.4634624,-0.0748,0.7117,0.1088
1.64609870486017E+018,17,0,2.5213696,-0.0758,0.7097,0.11
1.64609870488582E+018,18,0,2.5650176,-0.0758,0.7088,0.1112
1.64609870491108E+018,19,0,2.5257984,-0.0749,0.7067,0.1124
1.64609870493608E+018,20,0,2.4998912,-0.0758,0.7058,0.1112
1.64609870496127E+018,21,0,2.51968,-0.0767,0.7088,0.1111
1.64609870498619E+018,22,0,2.491136,-0.075,0.7038,0.1042
1.64609870501119E+018,23,0,2.4999936,-0.074,0.7028,0.1078
1.64609870503617E+018,24,0,2.4982784,-0.0749,0.7077,0.1112
1.64609870506113E+018,25,0,2.4963584,-0.0777,0.7068,0.1111
1.64609870508606E+018,26,0,2.4931584,-0.0739,0.7136,0.11
1.64609870511157E+018,27,0,2.5510912,-0.0776,0.7118,0.1122
1.64609870513615E+018,28,0,2.4573952,-0.0768,0.7048,0.1135
1.64609870516212E+018,29,0,2.596864,-0.0767,0.7088,0.1111
1.64609870518698E+018,30,0,2.4868352,-0.0739,0.7077,0.1066
1.64609870521265E+018,31,0,2.566272,-0.0777,0.7049,0.1123
1.64609870523728E+018,32,0,2.463488,-0.0758,0.7078,0.1124
1.64609870526195E+018,33,0,2.4666368,-0.0749,0.7097,0.1077
1.64609870528678E+018,34,0,2.4832,-0.0749,0.7087,0.1112
1.64609870531245E+018,35,0,2.5672704,-0.0739,0.7106,0.1077
1.64609870533692E+018,36,0,2.446848,-0.0768,0.7078,0.1135
1.64609870536217E+018,37,0,2.5251328,-0.0758,0.7107,0.11
1.64609870538677E+018,38,0,2.459392,-0.0749,0.7087,0.1101
1.64609870541282E+018,39,0,2.6049024,-0.0739,0.7077,0.1113
1.64609870543702E+018,40,0,2.419968,-0.0749,0.7068,0.1136
1.64609870546263E+018,41,0,2.5615616,-0.074,0.7038,0.1125
1.64609870548803E+018,42,0,2.5400576,-0.0749,0.7057,0.1066
1.64609870551241E+018,43,0,2.4381184,-0.0758,0.7087,0.1053
1.64609870553784E+018,44,0,2.5422592,-0.0758,0.7058,0.1147
1.64609870556269E+018,45,0,2.4854784,-0.073,0.7047,0.1161
1.64609870558815E+018,46,0,2.5457664,-0.0739,0.7097,0.1113
1.64609870561266E+018,47,0,2.4510208,-0.0749,0.7038,0.1136
1.6460987056373E+018,48,0,2.4645632,-0.073,0.7057,0.1137
1.64609870566255E+018,49,0,2.524416,-0.074,0.7067,0.1066
1.64609870568765E+018,50,0,2.5097984,-0.0739,0.7067,0.1148
1.64609870571326E+018,51,0,2.5609472,-0.0749,0.7077,0.1065
1.64609870573843E+018,52,0,2.5173504,-0.0739,0.7067,0.1101
